bootstrap	H0_lnL	H0_omega	H2_lnL	H2_omega1	H2_omega2
0	-1263.441375	0.21305	-1263.331590	0.18807	0.22520
1	-1116.633056	0.36639	-1115.565926	0.25512	0.45675
2	-1077.275725	0.35993	-1077.229154	0.33171	0.37702
3	-1243.669631	0.25385	-1243.449129	0.21990	0.28160
4	-1096.236290	0.25761	-1096.233246	0.25283	0.26069
5	-1132.288380	0.24843	-1132.272580	0.23732	0.25528
6	-1249.767749	0.26684	-1246.936315	0.15003	0.37074
7	-1128.554144	0.37486	-1127.846769	0.28155	0.45684
8	-1306.859316	0.25096	-1306.641303	0.21542	0.27305
9	-1343.579438	0.28318	-1340.104075	0.15436	0.41176
10	-1211.902583	0.32344	-1211.663993	0.26849	0.35134
11	-1126.419855	0.35630	-1126.412072	0.34633	0.36382
12	-1155.295896	0.29969	-1153.976269	0.19258	0.37058
13	-1248.893599	0.27899	-1246.847374	0.17280	0.36927
14	-1064.346173	0.30686	-1062.463796	0.18957	0.42206
15	-1233.621582	0.20587	-1233.621512	0.20653	0.20558
16	-1187.047543	0.30123	-1183.555390	0.15038	0.42251
17	-1317.346343	0.24462	-1316.419110	0.18503	0.30048
18	-1233.106350	0.28112	-1229.444529	0.13725	0.38910
19	-1131.998570	0.33176	-1131.694769	0.40813	0.29750
20	-1209.721317	0.34015	-1208.110149	0.21231	0.42236
21	-1271.837242	0.31588	-1270.667183	0.22015	0.38528
22	-1059.894029	0.29550	-1059.892190	0.29103	0.29836
23	-1279.496798	0.37138	-1279.430617	0.34091	0.39015
24	-1154.173175	0.31077	-1150.197268	0.15230	0.47622
25	-1267.717296	0.34732	-1266.430069	0.23171	0.43082
26	-1171.396797	0.32486	-1170.510087	0.24668	0.40405
27	-1133.562130	0.25423	-1129.984099	0.12192	0.36181
28	-1303.496084	0.30942	-1303.438796	0.28435	0.32259
29	-1238.252773	0.34229	-1238.215516	0.32236	0.35717
30	-1122.529649	0.26744	-1122.421088	0.30188	0.25070
31	-1238.484074	0.29597	-1237.821718	0.22647	0.34748
32	-1300.988242	0.30584	-1299.703992	0.20538	0.37208
33	-1168.464802	0.35159	-1161.299241	0.14445	0.62727
34	-1280.196227	0.19776	-1276.472437	0.09326	0.27933
35	-1137.149296	0.28049	-1134.006812	0.14908	0.41472
36	-1235.841414	0.22757	-1235.358462	0.17887	0.26008
37	-1175.601449	0.29831	-1175.026005	0.22740	0.34612
38	-1179.655343	0.27419	-1179.635850	0.26274	0.28264
39	-1182.402868	0.22353	-1180.444027	0.13308	0.29700
40	-1298.150356	0.26582	-1298.104003	0.28690	0.25649
41	-1126.054697	0.27620	-1126.036810	0.26360	0.28457
42	-1235.477441	0.25491	-1233.924573	0.16725	0.31838
43	-1097.894137	0.28485	-1095.536615	0.17287	0.40567
44	-1215.187358	0.31035	-1212.081772	0.17201	0.43654
45	-1263.671858	0.23631	-1262.092883	0.15763	0.30017
46	-1102.941034	0.22420	-1101.876720	0.14991	0.28092
47	-1122.956199	0.25688	-1121.094607	0.16094	0.35002
48	-1217.806688	0.21124	-1215.629559	0.12220	0.27857
49	-1329.285675	0.16213	-1325.588835	0.07905	0.23623
50	-1138.270992	0.29501	-1138.208411	0.26672	0.31014
51	-1176.131623	0.31677	-1176.109744	0.29927	0.32519
52	-1241.925905	0.28129	-1240.054281	0.18000	0.36911
53	-1238.492381	0.28446	-1236.419992	0.16510	0.36404
54	-1234.657395	0.27041	-1234.456000	0.23405	0.29385
55	-1259.190545	0.33975	-1258.477479	0.25916	0.40068
56	-1089.417971	0.16259	-1087.439145	0.09501	0.23066
57	-1177.433104	0.25071	-1177.428871	0.24462	0.25382
58	-1174.390979	0.17277	-1174.355223	0.16189	0.17960
59	-1206.752258	0.23326	-1204.644927	0.14021	0.30671
60	-1308.091436	0.32593	-1306.309361	0.20929	0.41121
61	-1305.998865	0.32631	-1304.925881	0.23328	0.39727
62	-1286.823641	0.20339	-1285.405460	0.13450	0.25456
63	-1286.234826	0.32394	-1283.795118	0.20472	0.45700
64	-1168.854935	0.22016	-1166.819156	0.12603	0.28604
65	-1098.424931	0.34975	-1098.400363	0.36901	0.33734
66	-1320.551670	0.26332	-1320.224031	0.21302	0.29093
67	-1183.129965	0.28599	-1179.455370	0.14124	0.42182
68	-1273.279447	0.19472	-1270.446030	0.10767	0.28700
69	-1247.608902	0.32837	-1245.323876	0.20630	0.45437
70	-1162.827727	0.26469	-1161.731915	0.18196	0.32408
71	-1206.099976	0.28207	-1206.016978	0.25512	0.29829
72	-1164.276921	0.21546	-1162.656146	0.14072	0.28058
73	-1119.461484	0.28282	-1118.135816	0.19259	0.37253
74	-1159.028413	0.24138	-1158.762784	0.20194	0.26978
75	-1270.217168	0.34925	-1266.575790	0.19928	0.52395
76	-1063.731260	0.44698	-1062.177097	0.28013	0.58806
77	-1212.429543	0.44982	-1210.234628	0.27805	0.63287
78	-1199.600543	0.31395	-1196.139559	0.18177	0.50389
79	-1157.447029	0.20927	-1156.130861	0.13502	0.26413
80	-1176.166684	0.29750	-1175.801982	0.24452	0.33633
81	-1258.232487	0.34766	-1255.547248	0.19484	0.47982
82	-1233.657588	0.22648	-1233.581693	0.20628	0.23887
83	-1159.653323	0.20546	-1154.576154	0.10590	0.34753
84	-1214.220771	0.34827	-1213.770316	0.27700	0.39739
85	-1116.432089	0.17977	-1115.480093	0.12842	0.22618
86	-1228.865606	0.29749	-1228.644643	0.25398	0.32703
87	-1190.194106	0.27385	-1188.690436	0.17650	0.34361
88	-1223.069566	0.33114	-1221.686199	0.23757	0.43644
89	-1210.942933	0.20874	-1210.939011	0.20420	0.21137
90	-1220.016393	0.28162	-1218.398516	0.18044	0.35771
91	-1173.347234	0.30415	-1170.826803	0.18379	0.42329
92	-1103.432497	0.28159	-1103.401618	0.26530	0.29341
93	-1220.005143	0.33933	-1219.516077	0.26609	0.39068
94	-1323.794569	0.30345	-1321.640857	0.19556	0.40620
95	-1180.155561	0.26461	-1179.256286	0.19028	0.32268
96	-1239.600172	0.32219	-1237.799961	0.19842	0.41339
97	-1259.645839	0.17720	-1258.321016	0.11701	0.22001
98	-1189.985896	0.25762	-1189.766237	0.21329	0.27917
99	-1204.706222	0.42894	-1202.862681	0.26734	0.55806
100	-1165.992567	0.28279	-1165.357783	0.21800	0.33917
101	-1177.114258	0.33076	-1176.930975	0.28642	0.36111
102	-1143.911638	0.40212	-1142.564928	0.26391	0.50507
103	-1061.253429	0.29358	-1060.605890	0.22577	0.35610
104	-1168.238311	0.19857	-1162.507025	0.08711	0.32257
105	-1141.865798	0.22001	-1137.663965	0.11700	0.36322
106	-1292.257619	0.34338	-1290.398834	0.21408	0.46255
107	-1066.476781	0.35555	-1066.461172	0.33939	0.36527
108	-1031.002279	0.19935	-1030.035533	0.13430	0.24516
109	-1222.120187	0.36596	-1221.345008	0.26750	0.43411
110	-1237.097899	0.27424	-1235.830640	0.18535	0.34081
111	-1183.430898	0.21978	-1183.386742	0.23823	0.21168
112	-1136.250251	0.33954	-1134.951335	0.22807	0.44041
113	-1066.435051	0.12901	-1066.213803	0.15024	0.11369
114	-1143.723539	0.19752	-1143.585153	0.17303	0.21392
115	-1199.388301	0.27598	-1198.460356	0.20414	0.33735
116	-1180.302368	0.26186	-1179.885658	0.20583	0.29663
117	-1261.328737	0.25586	-1258.912093	0.14984	0.34152
118	-1061.271964	0.30552	-1060.075089	0.20772	0.39050
119	-1327.792579	0.35119	-1327.260535	0.27094	0.39664
120	-1173.346894	0.23483	-1169.241503	0.11489	0.37114
121	-1183.364382	0.30766	-1183.364367	0.30727	0.30791
122	-1233.519189	0.31682	-1230.441738	0.17121	0.46011
123	-1267.047991	0.20062	-1266.766245	0.16558	0.22134
124	-1297.310740	0.24263	-1295.302811	0.15759	0.32233
125	-1116.727908	0.24481	-1113.959281	0.13774	0.36513
126	-1094.600727	0.37375	-1093.906219	0.28305	0.44809
127	-1180.571034	0.28897	-1179.392798	0.19345	0.35801
128	-1217.213360	0.35882	-1217.205083	0.34646	0.36458
129	-1134.624583	0.26939	-1134.621147	0.26404	0.27269
130	-1306.720325	0.28609	-1305.983456	0.20998	0.33510
131	-1273.102707	0.31525	-1272.928744	0.27228	0.34015
132	-1168.722395	0.31913	-1168.017954	0.24070	0.38528
133	-1322.493886	0.34621	-1319.973128	0.20933	0.46018
134	-1119.452741	0.30252	-1118.931892	0.23298	0.35043
135	-1306.164778	0.27053	-1305.101971	0.19022	0.32073
136	-1290.491014	0.24811	-1288.619164	0.14960	0.32129
137	-1194.297596	0.37224	-1189.555300	0.19831	0.60094
138	-1145.932155	0.28061	-1145.919933	0.27003	0.28715
139	-1204.679231	0.23109	-1203.375079	0.15795	0.29307
140	-1282.664832	0.21462	-1282.366735	0.17742	0.23703
141	-1211.373545	0.31151	-1210.864438	0.23998	0.35393
142	-1281.017026	0.27953	-1278.269426	0.14745	0.36981
143	-1197.906776	0.16417	-1196.781097	0.11199	0.20622
144	-1191.080433	0.33310	-1190.940468	0.29219	0.35728
145	-1185.315615	0.24485	-1184.803244	0.19121	0.28351
146	-1135.070050	0.29309	-1131.494382	0.14795	0.42756
147	-1206.421757	0.23025	-1206.253731	0.20165	0.25046
148	-1222.401707	0.24187	-1220.027852	0.14454	0.33505
149	-1188.228006	0.19436	-1187.242378	0.13222	0.23746
150	-1046.705335	0.32732	-1044.645190	0.20290	0.48524
151	-1285.668426	0.19536	-1285.370544	0.16302	0.21664
152	-1183.898589	0.35222	-1181.732213	0.21229	0.47206
153	-1266.884911	0.25067	-1264.822770	0.16040	0.34429
154	-1102.636318	0.25077	-1102.191047	0.20023	0.29104
155	-1170.171850	0.34581	-1169.878303	0.28106	0.38344
156	-1263.204436	0.20912	-1263.171065	0.19802	0.21726
157	-1204.694620	0.22878	-1204.279388	0.28707	0.20191
158	-1227.526266	0.20883	-1227.245858	0.17205	0.22921
159	-1149.273314	0.40095	-1147.871717	0.25537	0.51303
160	-1188.381662	0.35723	-1187.849506	0.27305	0.41565
161	-1312.580628	0.26849	-1310.419720	0.16695	0.36009
162	-1201.788404	0.26185	-1201.759382	0.24864	0.27160
163	-1321.473988	0.31171	-1321.388258	0.28344	0.32916
164	-1292.857141	0.32807	-1292.856602	0.33058	0.32666
165	-1351.693893	0.25310	-1351.580017	0.22753	0.27054
166	-1128.791138	0.34140	-1128.383598	0.27247	0.39451
167	-1267.495767	0.29154	-1267.070500	0.23615	0.33120
168	-1292.670171	0.28826	-1291.813065	0.20749	0.34490
169	-1139.767317	0.33683	-1136.714240	0.17288	0.48668
170	-1121.814851	0.38915	-1118.322519	0.18162	0.55138
171	-1191.258318	0.31117	-1189.385537	0.19882	0.41092
172	-1162.598832	0.31953	-1162.120592	0.25773	0.37697
173	-1139.149893	0.19222	-1138.074969	0.12851	0.23208
174	-1234.497330	0.32663	-1233.944246	0.25186	0.37823
175	-1261.069516	0.34930	-1260.197012	0.25202	0.42047
176	-1181.360221	0.23848	-1181.134486	0.20746	0.26828
177	-1219.843536	0.30703	-1219.386983	0.24979	0.35737
178	-1180.967765	0.20336	-1177.953923	0.10126	0.28065
179	-1220.996306	0.24035	-1220.977266	0.22938	0.24686
180	-1103.301696	0.15512	-1100.189221	0.08290	0.23311
181	-1159.134025	0.30192	-1155.841463	0.16144	0.43815
182	-1162.011516	0.25487	-1161.340179	0.19155	0.29910
183	-1287.600093	0.32358	-1285.706301	0.20761	0.41754
184	-1209.079724	0.30315	-1207.207509	0.18837	0.39465
185	-1168.378443	0.28437	-1165.207309	0.15046	0.40680
186	-1147.662178	0.32025	-1147.613459	0.29444	0.33417
187	-1165.111048	0.32895	-1165.056022	0.30361	0.34481
188	-1113.930654	0.34082	-1113.535033	0.27175	0.38898
189	-1115.374826	0.24626	-1112.298459	0.13200	0.36825
190	-1251.437950	0.38581	-1250.817320	0.50723	0.33255
191	-1110.566283	0.45233	-1109.842609	0.32799	0.54479
192	-1149.559294	0.27174	-1149.419410	0.23652	0.29614
193	-1282.919104	0.30628	-1278.806287	0.15172	0.44353
194	-1265.820160	0.24208	-1263.569475	0.14147	0.31757
195	-1112.139845	0.26477	-1110.841208	0.17608	0.33443
196	-1163.328506	0.35252	-1161.814011	0.22725	0.45185
197	-1192.972487	0.24936	-1192.337415	0.17813	0.28512
198	-1164.620344	0.30001	-1164.115152	0.39956	0.26483
199	-1269.500923	0.40032	-1269.498711	0.39408	0.40377
200	-1124.655392	0.22214	-1124.302986	0.17346	0.24928
201	-1160.077992	0.19101	-1159.826873	0.16016	0.21329
202	-1164.421125	0.29723	-1159.450766	0.13963	0.47862
203	-1184.752215	0.35100	-1184.154882	0.27308	0.41586
