index	H0_lnL	H0_omega	H2_lnL	H2_omega1	H2_omega2
0	-1277.695169	0.17806	-1276.670333	0.12410	0.21318
30	-1327.949244	0.21199	-1326.445214	0.13661	0.26059
60	-1326.298718	0.23196	-1323.873829	0.13545	0.30460
90	-1291.454584	0.20530	-1290.341617	0.14314	0.24935
120	-1289.565676	0.20241	-1288.554415	0.14673	0.24752
150	-1291.574820	0.20186	-1290.451773	0.14736	0.25223
180	-1274.157606	0.20030	-1273.124462	0.14726	0.24822
210	-1270.425829	0.21969	-1269.807630	0.17604	0.26106
240	-1220.052906	0.26298	-1219.548090	0.21418	0.30872
270	-1245.010360	0.28842	-1244.419476	0.22848	0.33712
300	-1233.961760	0.29648	-1233.339027	0.23319	0.35043
330	-1228.809670	0.32337	-1228.296901	0.25842	0.37525
360	-1125.820490	0.30705	-1125.560687	0.25997	0.34328
390	-1018.530852	0.28977	-1018.064387	0.22782	0.33895
420	-953.232263	0.29648	-952.216937	0.20550	0.37655
450	-856.266176	0.27633	-855.726630	0.20889	0.33386
480	-763.327947	0.28381	-762.781266	0.21034	0.34759
510	-683.227141	0.30666	-682.563511	0.21340	0.38697
540	-596.287660	0.26642	-595.917559	0.19656	0.31917
570	-556.012109	0.32763	-555.983247	0.29572	0.34383
600	-562.886462	0.53629	-562.838555	0.47034	0.57070
630	-516.111903	0.63701	-515.262639	0.33839	0.80779
660	-515.421788	0.70802	-515.338906	0.58164	0.75855
690	-498.517138	0.53460	-498.497543	0.58433	0.51340
720	-533.475090	0.52511	-533.349752	0.43144	0.57938
750	-576.518618	0.66267	-576.303824	0.51384	0.74812
780	-671.118967	0.55153	-670.543743	0.37434	0.66296
810	-736.245016	0.61384	-734.991914	0.35446	0.79854
840	-827.090023	0.64373	-826.149617	0.40673	0.78879
870	-940.563204	0.61490	-939.110953	0.36963	0.78755
900	-1029.803536	0.75567	-1028.786795	0.49449	0.91278
930	-1042.804582	0.78096	-1041.599010	0.48883	0.95967
960	-1027.331100	0.77651	-1025.979402	0.46668	0.96236
990	-1033.456976	0.69542	-1030.622491	0.32110	0.94471
1020	-1001.732025	0.66270	-996.680175	0.21097	1.01077
1050	-1048.687975	0.64539	-1044.716563	0.25070	0.92793
1080	-1084.399837	0.76884	-1078.278016	0.24902	1.21669
1110	-1100.007890	0.81857	-1093.975191	0.25394	1.28848
1140	-1090.266815	0.84207	-1085.941406	0.26214	1.31030
1170	-1099.596048	0.73581	-1095.604901	0.23084	1.11196
1200	-1094.228420	0.62898	-1092.573177	0.32809	0.79751
1230	-1128.981548	0.62704	-1128.404053	0.42574	0.71754
1260	-1141.786813	0.56756	-1140.828577	0.33380	0.68662
1290	-1089.743599	0.45215	-1089.383119	0.32934	0.50489
1320	-1039.736423	0.37187	-1038.200759	0.18105	0.48745
1350	-1089.577545	0.36140	-1088.703675	0.22456	0.43661
1380	-1203.668533	0.35774	-1202.579679	0.22036	0.44341
1410	-1218.570853	0.33841	-1218.398462	0.28524	0.36820
1440	-1272.988674	0.35369	-1272.988674	0.35374	0.35366
1470	-1244.243267	0.32081	-1244.169836	0.35281	0.30219
1500	-1286.888357	0.32563	-1286.699362	0.37854	0.29748
1530	-1315.217399	0.33501	-1314.837393	0.41194	0.29369
1560	-1345.510198	0.32670	-1345.453500	0.30375	0.34428
1590	-1334.961403	0.33316	-1334.960677	0.33591	0.33107
1620	-1368.104552	0.33588	-1367.602225	0.27240	0.39922
1650	-1334.610846	0.34131	-1332.765863	0.23391	0.48247
1680	-1332.039857	0.34195	-1330.306383	0.24072	0.48003
1710	-1376.830042	0.40821	-1373.969388	0.25692	0.61179
1740	-1400.429053	0.39397	-1398.141602	0.26127	0.56774
1770	-1412.222511	0.37859	-1409.842322	0.25303	0.54766
1800	-1407.765210	0.35703	-1405.768094	0.24785	0.49520
1830	-1435.346256	0.37555	-1431.909683	0.23412	0.56518
1860	-1391.883267	0.36118	-1388.339242	0.21350	0.54523
1890	-1347.867466	0.37176	-1343.616294	0.20386	0.57948
1920	-1327.229769	0.39148	-1324.094480	0.23497	0.57924
1950	-1320.446100	0.38570	-1316.070236	0.20705	0.59371
1980	-1227.247283	0.39669	-1224.521210	0.23861	0.55964
2010	-1239.969554	0.45301	-1235.850774	0.23988	0.67866
2040	-1236.547085	0.47789	-1233.314967	0.26398	0.67092
2070	-1276.255786	0.45182	-1274.745466	0.30027	0.56471
2100	-1259.406262	0.44198	-1258.441339	0.31455	0.52579
2130	-1220.388583	0.42259	-1219.783845	0.31950	0.48860
2160	-1211.715309	0.42673	-1211.427093	0.35085	0.47121
2190	-1191.586170	0.45306	-1191.350417	0.37746	0.49594
2220	-1160.000700	0.56014	-1159.805676	0.47127	0.61101
2250	-1118.169342	0.69487	-1118.112010	0.62649	0.72851
2280	-1128.651223	0.66668	-1128.619938	0.61865	0.69147
2310	-1125.414761	0.63557	-1125.403895	0.60819	0.64915
2340	-1137.830742	0.63737	-1136.981326	0.43245	0.77305
2370	-1094.956707	0.74058	-1093.447604	0.44559	0.98412
2400	-1124.976972	0.75261	-1123.866908	0.48373	0.96080
2430	-1102.290138	0.63116	-1101.804295	0.47043	0.73501
2460	-1066.378606	0.52751	-1066.018624	0.41332	0.60654
2490	-1061.053189	0.55636	-1060.232099	0.39754	0.68592
2520	-1054.604458	0.51304	-1054.033200	0.38568	0.61113
